# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=50
# for k=1.05577e-05 to 210.871 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_cdm                 14:t_ur                  15:t_ncdm[0]             16:t_ncdm[1]             17:t_tot              
       7.065479183495e-02      -4.958293882865e-01      -2.055944473429e+02      -2.321615982287e+02      -4.957413380299e-01      -4.864151765176e-01      -9.194707261564e-01      -2.241971680177e+02       1.239353345075e-01       1.239351441093e-01      -7.688703197289e-06       2.035283453001e-01       2.050862840186e-01      -7.588971476610e-06       4.257001285504e-04       7.080225013078e-04       2.004446702717e-01 
       7.377344927649e-02      -4.749374363189e-01      -2.149111719721e+02      -2.423793306914e+02      -4.748531150115e-01      -4.757788433141e-01      -8.552904520363e-01      -2.341039014029e+02       1.187132787529e-01       1.187131111906e-01      -7.373966005193e-06       2.124949575768e-01       2.141765667512e-01      -7.278477328071e-06      -5.868740149914e-04       1.034822234528e-03       2.093195100403e-01 
       7.687749830552e-02      -4.542351659160e-01      -2.223684668631e+02      -2.518578611793e+02      -4.541545871971e-01      -4.709513964459e-01      -8.392265838475e-01      -2.431151436737e+02       1.135386467993e-01       1.135384581698e-01      -7.058469374952e-06       2.205110115888e-01       2.224708137228e-01      -6.967287692936e-06       3.410311873211e-04       6.172001559161e-04       2.173941433123e-01 
       7.998788894043e-02      -4.336357092249e-01      -2.279616346381e+02      -2.605962777692e+02      -4.335588885119e-01      -4.208445087083e-01      -7.841346159682e-01      -2.512289354186e+02       1.083897221280e-01       1.083896100271e-01      -6.745118379724e-06       2.275824449224e-01       2.299664235220e-01      -6.658295651067e-06       2.273382743673e-04       9.684827793950e-04       2.246660618612e-01 
       8.312101603522e-02      -4.132113076438e-01      -2.318310088923e+02      -2.686310745789e+02      -4.131382333782e-01      -4.204892077301e-01      -7.607535359106e-01      -2.584973388563e+02       1.032845583445e-01       1.032844249499e-01      -6.448568748016e-06       2.337753806622e-01       2.367069741434e-01      -6.366111901670e-06      -5.967729021315e-04       5.455775350501e-04       2.311751122862e-01 
       8.629024436624e-02      -3.931459205404e-01      -2.342798487712e+02      -2.760494284137e+02      -3.930765337606e-01      -4.050736266716e-01      -7.141550020924e-01      -2.650382885458e+02       9.826913344015e-02       9.826901366326e-02      -6.135884895657e-06       2.392288353353e-01       2.427948096243e-01      -6.057732048458e-06       5.167729383536e-04       8.940624299459e-04       2.370412891179e-01 
       8.950686006107e-02      -3.736990344523e-01      -2.357769399651e+02      -2.829965192876e+02      -3.736332160672e-01      -3.612392241176e-01      -6.853483635637e-01      -2.710435028402e+02       9.340830401681e-02       9.340822405412e-02      -5.849054040771e-06       2.441597418141e-01       2.483973467911e-01      -5.775060826516e-06       9.501562042105e-05       4.831796774989e-04       2.424193056326e-01 
       9.278068955300e-02      -3.551653140456e-01      -2.369395996299e+02      -2.896754889264e+02      -3.551028799728e-01      -3.625479680005e-01      -6.482265262103e-01      -2.767752273257e+02       8.877571999320e-02       8.877563046607e-02      -5.567538414716e-06       2.488581047299e-01       2.537452276395e-01      -5.497473858342e-06      -6.093111703836e-04       8.138421755184e-04       2.475541553584e-01 
       9.612051638708e-02      -3.378346128811e-01      -2.384927122303e+02      -2.963383581278e+02      -3.377753173566e-01      -3.508244969691e-01      -6.173724607671e-01      -2.825525241482e+02       8.444382933916e-02       8.444374156314e-02      -5.299756880826e-06       2.536703063953e-01       2.591205744086e-01      -5.233309696943e-06       4.492810461193e-04       4.391834477687e-04       2.527303306828e-01 
       9.953437002553e-02      -3.219517784602e-01      -2.412030122490e+02      -3.032671572429e+02      -3.218953254604e-01      -3.125365672969e-01      -5.899336105578e-01      -2.887257464935e+02       8.047383136510e-02       8.047377533196e-02      -5.050734087033e-06       2.589697712629e-01       2.648344933721e-01      -4.987529105760e-06       3.712773687704e-04       7.303732140727e-04       2.582602549802e-01 
       1.030297307152e-01      -3.076791601436e-01      -2.457892046791e+02      -3.107447932402e+02      -3.076252222994e-01      -3.047250903906e-01      -5.604079136892e-01      -2.956388701497e+02       7.690630557485e-02       7.690625168379e-02      -4.833091311583e-06       2.651152479623e-01       2.711937374873e-01      -4.772715285746e-06      -6.070073318574e-04       4.165414250420e-04       2.644463783076e-01 
