# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.75
# for k=1.05577e-05 to 210.871 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_cdm                 14:t_ur                  15:t_ncdm[0]             16:t_ncdm[1]             17:t_tot              
       8.629024436624e-02      -3.649939894136e-01      -7.210404843561e+03      -7.260258626138e+03      -3.630512165888e-01      -1.090142598402e+01      -3.113066501739e+02      -7.219281939269e+03       9.076280414720e-02       9.076280403377e-02      -1.870772453381e-05       1.191047496360e+00       1.191325098909e+00      -1.821452406527e-05       3.912400694241e-03       1.018061579206e-01       1.185849318969e+00 
       8.950686006107e-02      -3.469319524737e-01      -7.369428300499e+03      -7.425969603015e+03      -3.450853350620e-01      -1.036272484831e+01      -2.985545048337e+02      -7.383134626679e+03       8.627133376550e-02       8.627133366514e-02      -1.778306717231e-05       1.218072766325e+00       1.218376925080e+00      -1.731428012632e-05       3.726785268135e-03       9.809592088884e-02       1.212751056868e+00 
       9.278068955300e-02      -3.297191495865e-01      -7.520902294487e+03      -7.584156185103e+03      -3.279641646686e-01      -9.850086898953e+00      -2.860954917872e+02      -7.539495978573e+03       8.199104116715e-02       8.199104107824e-02      -1.690175877975e-05       1.243862122624e+00       1.244191918525e+00      -1.645623643897e-05       3.538930163262e-03       9.443060744634e-02       1.238422306707e+00 
       9.612051638708e-02      -3.136247328976e-01      -7.674053934775e+03      -7.743460029133e+03      -3.119554226706e-01      -9.371817385825e+00      -2.742374391381e+02      -7.697057213212e+03       7.798885566766e-02       7.798885558875e-02      -1.607762678792e-05       1.269851415636e+00       1.270203913716e+00      -1.565385573661e-05       3.363936689779e-03       9.089653677823e-02       1.264290543396e+00 
       9.953437002553e-02      -2.988760479941e-01      -7.838977285462e+03      -7.913381575941e+03      -2.972852429689e-01      -8.933941226996e+00      -2.632490146390e+02      -7.865365350689e+03       7.432131074221e-02       7.432131067199e-02      -1.532234940700e-05       1.297617700568e+00       1.297988034993e+00      -1.491850832180e-05       3.208208648558e-03       8.758929222498e-02       1.291923857822e+00 
       1.030297307152e-01      -2.856235735956e-01      -8.025533260033e+03      -8.103255398986e+03      -2.841033025678e-01      -8.540854016079e+00      -2.533153361494e+02      -8.053791733733e+03       7.102582564196e-02       7.102582557924e-02      -1.464366146358e-05       1.328708799755e+00       1.329090523955e+00      -1.425772534964e-05       3.073364495831e-03       8.458874157925e-02       1.322861483841e+00 
       1.066136776005e-01      -2.739114214105e-01      -8.241954003423e+03      -8.320942535638e+03      -2.724534785791e-01      -8.194680650252e+00      -2.445165783330e+02      -8.270217051858e+03       6.811336964477e-02       6.811336958853e-02      -1.404384416260e-05       1.364426062307e+00       1.364811793844e+00      -1.367372850743e-05       2.957468578994e-03       8.193657621211e-02       1.358397783689e+00 
       1.102929974112e-01      -2.636612005877e-01      -8.493405466839e+03      -8.571476248841e+03      -2.622577985732e-01      -7.893794922585e+00      -2.368197343315e+02      -8.519670793942e+03       6.556444964331e-02       6.556444959265e-02      -1.351889695972e-05       1.405599641227e+00       1.405981965899e+00      -1.316262369717e-05       2.847660569062e-03       7.962914684054e-02       1.399358808927e+00 
       1.140742651042e-01      -2.546671511403e-01      -8.780549553370e+03      -8.855697504766e+03      -2.533115998257e-01      -7.628882958816e+00      -2.300741758859e+02      -8.802961984811e+03       6.332789995642e-02       6.332789991063e-02      -1.305828582822e-05       1.452362358346e+00       1.452734941254e+00      -1.271415584204e-05       2.723171661429e-03       7.761871801989e-02       1.445877450317e+00 
       1.179639041415e-01      -2.466112563992e-01      -9.098562361661e+03      -9.169307769016e+03      -2.452985610997e-01      -7.383914985522e+00      -2.240216881213e+02      -9.115731241539e+03       6.132464027492e-02       6.132464023344e-02      -1.264571530379e-05       1.503993184285e+00       1.504351935056e+00      -1.231246040742e-05       2.612065478838e-03       7.581979721854e-02       1.497237788275e+00 
       1.219682317317e-01      -2.390964511160e-01      -9.436845483494e+03      -9.502561332700e+03      -2.378237336341e-01      -7.156734543734e+00      -2.183233880412e+02      -9.448147576732e+03       5.945593340852e-02       5.945593337087e-02      -1.226083140148e-05       1.558867230314e+00       1.559211325266e+00      -1.193772128621e-05       2.586542250379e-03       7.411948459787e-02       1.551825243813e+00 
       1.260934928360e-01      -2.316979029105e-01      -9.779787836984e+03      -9.840941240717e+03      -2.304645491969e-01      -6.946401394809e+00      -2.126053614933e+02      -9.785594407282e+03       5.761613729923e-02       5.761613726503e-02      -1.188185766773e-05       1.614569182488e+00       1.614901713186e+00      -1.156873736232e-05       2.493797203797e-03       7.239342014531e-02       1.607239027491e+00 
       1.303458857367e-01      -2.240285126032e-01      -1.010885192216e+04      -1.016708353037e+04      -2.228359712713e-01      -6.707799459122e+00      -2.065202620462e+02      -1.011060961124e+04       5.570899281783e-02       5.570899278689e-02      -1.148894340841e-05       1.668213987043e+00       1.668541990383e+00      -1.118618200593e-05       2.386200348419e-03       7.052704847671e-02       1.660611099859e+00 
