# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_ncdm[0]              8:d_ncdm[1]              9:d_tot                 10:phi                   11:psi                   12:t_g                   13:t_b                   14:t_cdm                 15:t_fld                 16:t_ur                  17:t_ncdm[0]             18:t_ncdm[1]             19:t_tot              
       4.241026168960e-04      -2.946919440946e+00      -3.102113188309e+00      -3.102186983228e+00      -1.857336750498e-01      -2.921880520009e+00      -3.016191540688e+00      -3.095708389730e+00      -1.120334011237e+00       4.820844051817e-01       4.820593884773e-01      -1.855629495907e-05       1.863173430833e-04       1.863217509063e-04       1.862544267557e-04      -1.997120176928e-05       1.798331701666e-04       1.860463274501e-04       1.862573104058e-04 
       5.339135616187e-04      -2.899171776922e+00      -4.007205125794e+00      -4.007378196521e+00      -2.036658558323e-01      -2.859392888315e+00      -3.796369310465e+00      -3.991122546807e+00      -1.422500076277e+00       4.814945126742e-01       4.814890696485e-01      -7.945313879266e-05       2.949668806408e-04       2.949768019491e-04       2.948464981652e-04      -7.887156042712e-05       2.796682823111e-04       2.942933804446e-04       2.948552571749e-04 
       6.721573504233e-04      -2.667278059603e+00      -5.438135744816e+00      -5.438527632747e+00      -2.320366201794e-01      -2.623214406998e+00      -4.941025647275e+00      -5.398147681682e+00      -1.900209431578e+00       4.806444565017e-01       4.806502074174e-01      -1.257303086862e-04       4.667143786272e-04       4.667356038115e-04       4.665057414722e-04      -1.181874723691e-04       4.317332438852e-04       4.650470927205e-04       4.665310727441e-04 
       8.461959691722e-04      -2.470349181429e+00      -7.697834313102e+00      -7.698678872058e+00      -2.768649624833e-01      -2.452654102846e+00      -6.576346488653e+00      -7.599437251825e+00      -2.654596751720e+00       4.794396204757e-01       4.794443812573e-01      -1.004075669763e-04       7.378839720089e-04       7.379265718458e-04       7.375336767701e-04      -8.487614061958e-05       6.611844978499e-04       7.337856215200e-04       7.376039459303e-04 
       1.065297608949e-03      -2.497668382696e+00      -1.126075865808e+01      -1.126246059975e+01      -3.475675110648e-01      -2.514522190371e+00      -8.863400645605e+00      -1.102196761524e+01      -3.844015593265e+00       4.777390649208e-01       4.777389909071e-01      -9.700933222018e-05       1.165349439699e-03       1.165429056508e-03       1.164690349376e-03      -9.250140385209e-05       1.005115433663e-03       1.155389177412e-03       1.164878967537e-03 
       1.341130231029e-03      -2.357836662032e+00      -1.686667265602e+01      -1.686982510522e+01      -4.588310963404e-01      -2.348759718685e+00      -1.204591592579e+01      -1.629852608153e+01      -5.715261374102e+00       4.753472435674e-01       4.753478202719e-01      -1.759509551183e-04       1.837760476622e-03       1.837898686495e-03       1.836411004130e-03      -1.887418031693e-04       1.516220887412e-03       1.813952176864e-03       1.836904947980e-03 
       1.688382928368e-03      -2.304978076230e+00      -2.566175843788e+01      -2.566708925841e+01      -6.334122428313e-01      -2.286052841985e+00      -1.648674848545e+01      -2.434721685253e+01      -8.650657517364e+00       4.720275561533e-01       4.720271317948e-01      -1.294585087827e-04       2.892419353375e-03       2.892641861753e-03       2.889593268346e-03      -1.178452543873e-04       2.256707337456e-03       2.836742365095e-03       2.890863522808e-03 
       2.125548173362e-03      -2.129606458656e+00      -3.940875632326e+01      -3.941721934432e+01      -9.062232370942e-01      -2.135003500540e+00      -2.251742201895e+01      -3.647725602649e+01      -1.323792304306e+01       4.674974849811e-01       4.674973771126e-01      -1.842399995652e-04       4.540405610514e-03       4.540745099525e-03       4.534162410561e-03      -1.847066796384e-04       3.286976869731e-03       4.413447325609e-03       4.537384987647e-03 
       2.675906609438e-03      -2.107077393073e+00      -6.079128734008e+01      -6.080497150531e+01      -1.330315201609e+00      -2.085980498531e+00      -3.027134833529e+01      -5.452977364544e+01      -2.037173524020e+01       4.614251410048e-01       4.614246999149e-01      -2.418781818559e-04       7.103027593899e-03       7.103547076463e-03       7.088960827353e-03      -2.334120915940e-04       4.686158148246e-03       6.820325575513e-03       7.097049216691e-03 
       3.368766830209e-03      -2.017272842027e+00      -9.384568536574e+01      -9.386973423097e+01      -1.985125438610e+00      -1.982108536966e+00      -3.987248857095e+01      -8.101524788252e+01      -3.139750136969e+01       4.534374912775e-01       4.534371046559e-01      -2.422956907232e-04       1.106351856786e-02       1.106434537420e-02       1.103136203324e-02      -2.797212217364e-04       6.497962775764e-03       1.044477966612e-02       1.105147611106e-02 
