# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=10
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_ncdm[0]              8:d_ncdm[1]              9:d_tot                 10:phi                   11:psi                   12:t_g                   13:t_b                   14:t_cdm                 15:t_fld                 16:t_ur                  17:t_ncdm[0]             18:t_ncdm[1]             19:t_tot              
       3.366656121949e-02      -1.031424526020e+00      -4.445781897146e+02      -4.661069717205e+02      -2.891305485543e-04      -9.556918788867e-01      -1.433113047069e+00      -2.122078381337e+01      -4.582038360876e+02       2.389229697217e-01       2.389228464690e-01      -2.028351653010e-05       1.929427902786e-01       1.934321908054e-01       3.008919383596e-04      -3.563370170582e-06       4.580961872242e-04       1.642463315290e-02       1.918569213507e-01 
       4.174812847909e-02      -8.400203495032e-01      -5.528039086563e+02      -5.842525380490e+02      -1.532422924648e-04      -7.783500707178e-01      -1.142321699926e+00      -1.794051452715e+01      -5.736336118785e+02       1.945875176794e-01       1.945874531309e-01      -1.654672809491e-05       2.416006003910e-01       2.422643861248e-01       2.447364125438e-04      -2.935327483581e-06       2.172578535780e-04       1.440577443140e-02       2.402600972486e-01 
       4.845224332871e-02      -7.304656191817e-01      -6.486459109811e+02      -6.839872637903e+02      -1.019912967080e-04      -6.768253838100e-01      -1.014655843299e+00      -1.598178013787e+01      -6.717603873572e+02       1.692063459525e-01       1.692063022602e-01      -1.441475187824e-05       2.830520070291e-01       2.837479417574e-01       2.126988318576e-04      -2.569444786055e-06       2.284116280575e-04       1.272583395848e-02       2.813971916944e-01 
       5.333502158212e-02      -6.715960491525e-01      -7.261480095993e+02      -7.612707035683e+02      -1.829469151593e-05      -6.222630355227e-01      -9.333383753238e-01      -1.485368251118e+01      -7.482912750019e+02       1.555657588807e-01       1.555657254843e-01      -1.327141825548e-05       3.154350825759e-01       3.160856417451e-01       1.950615727769e-04      -2.369683941700e-06       2.067244396321e-04       1.189162944599e-02       3.134773156569e-01 
       5.737910415683e-02      -6.320273755900e-01      -7.949375930243e+02      -8.283851859046e+02      -1.561080931064e-05      -5.855874920119e-01      -8.652058440256e-01      -1.410763656352e+01      -8.149789579140e+02       1.463968730030e-01       1.463968463667e-01      -1.250307781845e-05       3.436732220343e-01       3.442576590741e-01       1.835849391836e-04      -2.234200369804e-06       5.360549286175e-04       1.132614357212e-02       3.414299072615e-01 
       6.099820005948e-02      -6.012724163348e-01      -8.584643120620e+02      -8.898786036975e+02      -1.321734498021e-05      -5.570819609692e-01      -8.283066664820e-01      -1.351492757563e+01      -8.761574921376e+02       1.392704902423e-01       1.392704675195e-01      -1.190513521705e-05       3.695806940007e-01       3.701005838449e-01       1.746582252068e-04      -2.128660450173e-06       6.130896923596e-05       1.098268255570e-02       3.670721119411e-01 
       6.437813162235e-02      -5.750011357327e-01      -9.176541384300e+02      -9.472928719744e+02      -1.132868817322e-05      -5.327342235475e-01      -7.785097100033e-01      -1.295376731621e+01      -9.332590470737e+02       1.331835558869e-01       1.331835368986e-01      -1.139190099745e-05       3.937529400435e-01       3.942223692562e-01       1.670316514949e-04      -2.037485321810e-06       3.897582761024e-04       1.067481770610e-02       3.910057871385e-01 
       6.761782965077e-02      -5.510572943707e-01      -9.725117581595e+02      -1.001057471149e+03      -9.846632182340e-06      -5.105461409804e-01      -7.650197601355e-01      -1.244133266057e+01      -9.866442689393e+02       1.276365352451e-01       1.276365180290e-01      -1.092297288869e-05       4.163355393079e-01       4.167771253030e-01       1.600801014863e-04      -1.955070950267e-06       4.033513678258e-04       1.013786745480e-02       4.133805063090e-01 
       7.077686273009e-02      -5.282643466379e-01      -1.022710450597e+03      -1.051153960995e+03      -8.614480509126e-06      -4.894272421845e-01      -7.289218911931e-01      -1.200597965610e+01      -1.036248085887e+03       1.223568105461e-01       1.223567955899e-01      -1.047439162837e-05       4.372963303667e-01       4.377385721838e-01       1.534624583738e-04      -1.876310296425e-06       3.508485920483e-05       9.705676730498e-03       4.341705056534e-01 
       7.389448284758e-02      -5.059768253343e-01      -1.067873760609e+03      -1.097414749474e+03      -7.570032584767e-06      -4.687790410951e-01      -6.843917564323e-01      -1.153267451978e+01      -1.081872421632e+03       1.171947602738e-01       1.171947475374e-01      -1.003279187223e-05       4.565491080729e-01       4.570239832146e-01       1.469919747152e-04      -1.798011860090e-06       1.778026493422e-04       9.531264388190e-03       4.532945673848e-01 
       7.699842267797e-02      -4.838813369014e-01      -1.107751933556e+03      -1.139694811105e+03      -6.667649483469e-06      -4.483106784466e-01      -6.621353457384e-01      -1.102071799374e+01      -1.123357813960e+03       1.120776696116e-01       1.120776581761e-01      -9.593998884561e-06       4.740258829924e-01       4.745662644300e-01       1.405768250109e-04      -1.720746188153e-06       4.633839841240e-04       9.082277869944e-03       4.706836679518e-01 
       8.010941563580e-02      -4.618947791827e-01      -1.142355130088e+03      -1.177993713523e+03      -5.880105748774e-06      -4.279446182808e-01      -6.431599916014e-01      -1.056912135036e+01      -1.160705800825e+03       1.069861545702e-01       1.069861441729e-01      -9.156662270815e-06       4.897287620603e-01       4.903655786042e-01       1.341929116516e-04      -1.644133604157e-06       2.382911998230e-04       8.550102367696e-03       4.863384064724e-01 
       8.324371480182e-02      -4.400993962002e-01      -1.172048377880e+03      -1.212540784301e+03      -5.188858094852e-06      -4.077564617108e-01      -6.030418870843e-01      -1.010944721397e+01      -1.194163749066e+03       1.019391154277e-01       1.019391064777e-01      -8.721710855057e-06       5.037663681269e-01       5.045255840793e-01       1.278646237622e-04      -1.567345369139e-06      -2.320943390361e-05       8.338706953661e-03       5.003643053114e-01 
       8.641458889910e-02      -4.186971553447e-01      -1.197618780282e+03      -1.243858826080e+03      -4.581023743478e-06      -3.879327251971e-01      -5.665156888938e-01      -9.603166050976e+00      -1.224289238793e+03       9.698318129929e-02       9.698317356519e-02      -8.294243118211e-06       5.163807926850e-01       5.172804087913e-01       1.216502084067e-04      -1.491769260596e-06       2.859801496621e-04       8.003434984363e-03       5.129936756243e-01 
       8.963325723707e-02      -3.979678748871e-01      -1.220298706597e+03      -1.272793644759e+03      -4.047233696947e-06      -3.687320862448e-01      -5.520397567209e-01      -9.142959986588e+00      -1.251978664180e+03       9.218302156119e-02       9.218301443787e-02      -7.880784338098e-06       5.279593317959e-01       5.290066659092e-01       1.156305734303e-04      -1.418976304082e-06       3.618671054619e-04       7.440762273116e-03       5.246006101757e-01 
       9.290949883744e-02      -3.782271459882e-01      -1.241733569955e+03      -1.300503217781e+03      -3.580075616210e-06      -3.504464168955e-01      -5.213855746210e-01      -8.732989470047e+00      -1.278452395934e+03       8.761160422387e-02       8.761159797484e-02      -7.487252769113e-06       5.390280765674e-01       5.402177100525e-01       1.098976671881e-04      -1.349384704542e-06      -4.679591873709e-05       7.108956634122e-03       5.356977612719e-01 
