# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1.5
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_ncdm[0]              8:d_ncdm[1]              9:d_tot                 10:phi                   11:psi                   12:t_g                   13:t_b                   14:t_cdm                 15:t_fld                 16:t_ur                  17:t_ncdm[0]             18:t_ncdm[1]             19:t_tot              
       1.341130231029e-02      -1.664297451388e+00      -5.559702825314e+02      -5.573730649767e+02      -8.665015743741e-04      -1.649121864558e+00      -2.170495589872e+01      -2.253307962218e+02      -4.711366822787e+02       4.122804661308e-01       4.122804241793e-01      -5.108547365699e-05       1.101225638830e-01       1.101507430503e-01       2.477281419012e-04      -4.711002048153e-05       8.289855838207e-03       6.510969768064e-02       1.079106415622e-01 
       1.688382928364e-02      -1.506971688918e+00      -7.967024692540e+02      -7.997744890687e+02      -4.961317013374e-04      -1.493229331259e+00      -2.039713157563e+01      -2.686230534384e+02      -6.757168339982e+02       3.733073328149e-01       3.733073073102e-01      -4.636027819385e-05       1.580491161721e-01       1.580945421970e-01       2.233859156333e-04      -4.275997796103e-05       7.896987128210e-03       7.975505814033e-02       1.548235489836e-01 
       2.125548150196e-02      -1.327443620290e+00      -1.110276714286e+03      -1.116797313137e+03      -2.761078741161e-04      -1.315337208487e+00      -1.854383789009e+01      -2.914369896381e+02      -9.430042094117e+02       3.288343021218e-01       3.288342871662e-01      -4.092371483306e-05       2.206715051645e-01       2.207451003216e-01       1.962412045580e-04      -3.775173339581e-05       7.225658262639e-03       9.142653616844e-02       2.160987435566e-01 
       2.675890332307e-02      -1.130192884791e+00      -1.494629233458e+03      -1.507621032998e+03      -3.492983257273e-05      -1.119884759817e+00      -1.610057252851e+01      -2.993225619474e+02      -1.272162339043e+03       2.799711899542e-01       2.799711815873e-01      -3.491399017560e-05       2.977866451903e-01       2.979042379024e-01       1.662378770203e-04      -3.221302431073e-05       6.332136489088e-03       9.823475549436e-02       2.915348862767e-01 
       3.366656121949e-02      -9.286543823501e-01      -1.938825674755e+03      -1.961951138219e+03      -1.749190625563e-05      -9.201840345667e-01      -1.340706525361e+01      -2.869369505889e+02      -1.654399865665e+03       2.300460086417e-01       2.300460041575e-01      -2.874083865786e-05       3.873358362802e-01       3.875135018879e-01       1.365915734650e-04      -2.652132336319e-05       5.375082691681e-03       9.837751267593e-02       3.791134646848e-01 
       4.174812847909e-02      -7.562082192283e-01      -2.423984362021e+03      -2.457557248443e+03      -9.263283302920e-06      -7.493103730728e-01      -1.098103900871e+01      -2.622074601440e+02      -2.071407259610e+03       1.873275932682e-01       1.873275908421e-01      -2.343905079706e-05       4.850387615967e-01       4.852728183731e-01       1.112236888863e-04      -2.163149293329e-05       4.368270647034e-03       9.338335569592e-02       4.746400371436e-01 
       4.845224332871e-02      -6.575121210346e-01      -2.840419717093e+03      -2.878049400600e+03      -5.979413438848e-06      -6.515141143698e-01      -9.610267325290e+00      -2.434265296187e+02      -2.425843916241e+03       1.628785285924e-01       1.628785270022e-01      -2.039830567968e-05       5.680985005147e-01       5.683541245508e-01       9.670407071928e-05      -1.882644964834e-05       3.831740281719e-03       8.874121565255e-02       5.558266623646e-01 
       5.333502158212e-02      -6.044768966200e-01      -3.168069158330e+03      -3.205435559427e+03      -4.536564632913e-06      -5.989623494885e-01      -8.843567067773e+00      -2.321717639200e+02      -2.702255298408e+03       1.497405873721e-01       1.497405861577e-01      -1.876263065216e-05       6.328834267486e-01       6.331398696409e-01       8.890177762411e-05      -1.731739320355e-05       3.624913790526e-03       8.585367201682e-02       6.191402461984e-01 
       5.737910415683e-02      -5.688305997018e-01      -3.454871841198e+03      -3.490459134076e+03      -3.688415195976e-06      -5.636409829640e-01      -8.343726102361e+00      -2.240509032017e+02      -2.943106462269e+03       1.409102457410e-01       1.409102447475e-01      -1.766257087991e-05       6.893372262555e-01       6.895883447281e-01       8.365766167445e-05      -1.630242966732e-05       3.355731850950e-03       8.368223890786e-02       6.743081510462e-01 
       6.099820005948e-02      -5.411269775154e-01      -3.718401610586e+03      -3.751850662956e+03      -3.104723854362e-06      -5.361899083680e-01      -7.945043986670e+00      -2.172890227695e+02      -3.164055942352e+03       1.340474770920e-01       1.340474762525e-01      -1.680706154950e-05       7.411262053592e-01       7.413715562890e-01       7.958210279805e-05      -1.551306428578e-05       3.198126971501e-03       8.179286498860e-02       7.249172068206e-01 
